,Response.No,Tab.No,Survey.Date,AC.Name,Mandal.Name,Village.Name
176,437,427,27-06-15,Tiruvuru,Vissannapeta,Tatakuntla
177,438,397,03-06-15,Tiruvuru,A.Konduru,Krishnaraopalem
178,438,460,05-06-15,Tiruvuru,Gampalagudem,VINAGADAPA
179,439,380,15-06-15,Mylavaram,Mylavaram,Chandragudem
180,439,21,17-06-15,Nandigama,Veerullapadu,G.Madhavaram
181,439,130,01-07-15,Jaggaiahpeta,Vatsavai,Polampalli
182,441,56,31-05-15,Tiruvuru,Gampalagudem,KANUMURU
183,441,258,19-06-15,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
184,442,499,29-05-15,Jaggaiahpeta,Penuganchiprolu,Totacharla
185,442,433,11-06-15,NA,NA,NA
186,443,393,01-07-15,Tiruvuru,A.Konduru,Khampampadu
187,444,378,31-05-15,Mylavaram,Mylavaram,Morsumalli
188,444,1,09-07-15,Nandigama,Chanderlapadu,Thurlapadu
189,445,383,23-06-15,Tiruvuru,A.Konduru,Cheemalapadu
190,446,320,20-06-15,Nandigama,Nandigama,Pallagiri
191,449,213,12-06-15,Nandigama,Kanchikacherla,Gandepalli
192,451,252,03-07-15,Jaggaiahpeta,Vatsavai,Magollu
193,453,257,09-06-15,Jaggaiahpeta,Jaggaiahpeta,Gandrai
194,455,215,01-06-15,Nandigama,Kanchikacherla,Athukuru
195,455,1,20-07-15,Nandigama,Chanderlapadu,Chanderlapadu
196,456,479,22-06-15,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
197,457,356,17-06-15,Mylavaram,Reddygudem,Reddygudem
198,458,315,09-06-15,Nandigama,Nandigama,Adiviravulapadu
199,458,398,12-06-15,Tiruvuru,A.Konduru,Koduru
200,458,244,17-06-15,Jaggaiahpeta,Jaggaiahpeta,Govrawaram
201,461,457,24-05-15,Tiruvuru,Gampalagudem,PEDAKOMERA
202,461,235,03-06-15,Nandigama,Chanderlapadu,Gudimetla
203,465,341,30-05-15,Tiruvuru,Tiruvuru,Munukulla
204,467,134,24-06-15,Jaggaiahpeta,Vatsavai,Chityala
205,467,357,14-07-15,NA,NA,NA
206,470,414,03-07-15,Tiruvuru,Tiruvuru,Peddavaram
207,472,421,19-06-15,NA,NA,NA
208,473,67,11-07-15,Nandigama,Kanchikacherla,Paritala
209,474,22,30-06-15,JAGGAIAPET,JAGGAIAPET,Jayanthi
210,482,301,28-06-15,Nandigama,Nandigama,Thakkellapadu
211,485,475,02-06-15,Jaggaiahpeta,Penuganchiprolu,Sanagapadu
212,485,455,22-06-15,Tiruvuru,Gampalagudem,GAMPALAGUDEM
213,488,148,30-05-15,Jaggaiahpeta,Jaggaiahpeta,Vedadri
214,488,228,14-06-15,Nandigama,Kanchikacherla,Vemulapalli
215,489,271,08-07-15,NA,NA,NA
216,491,480,28-06-15,Jaggaiahpeta,Penuganchiprolu,Nawabpeta
217,492,286,19-06-15,Mylavaram,Reddygudem,Reddygudem
218,493,150,09-07-15,Nandigama,Veerullapadu,Jayanthi
219,495,197,23-06-15,Mylavaram,G. Konduru,Gaddamanugu
220,496,381,24-06-15,Tiruvuru,A.Konduru,Madhavaram
221,497,401,29-06-15,Tiruvuru,A.Konduru,A. Konduru
222,497,142,06-07-15,Tiruvuru,A.Konduru,Khampampadu
223,499,63,22-06-15,NA,NA,NA
224,500,6,13-07-15,Tiruvuru,Vissannapeta,Vissannapeta
225,501,250,02-06-15,Jaggaiahpeta,Jaggaiahpeta,Jayanthipuram
226,501,263,06-07-15,Mylavaram,Mylavaram,mylavaram
227,502,262,24-05-15,Mylavaram,Reddygudem,Patha naguluru
228,504,253,14-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
229,506,346,07-06-15,Tiruvuru,Tiruvuru,Rolupadi
230,506,421,12-06-15,NA,NA,NA
231,506,443,11-07-15,Tiruvuru,Gampalagudem,VUTUKURU
232,507,318,12-07-15,Nandigama,Nandigama,Peddavaram
233,508,91,28-06-15,NA,NA,NA
234,511,388,26-06-15,Tiruvuru,A.Konduru,Khampampadu
235,512,119,16-07-15,NA,NA,NA
236,514,289,22-05-15,Mylavaram,Reddygudem,Rudra varam
237,515,383,12-06-15,Tiruvuru,A.Konduru,Cheemalapadu
238,515,462,08-07-15,Tiruvuru,Gampalagudem,VUTUKURU
239,521,39,03-07-15,Nandigama,Veerullapadu,Jujjuru
240,522,229,27-06-15,Nandigama,Chanderlapadu,Veladi Kothapalem
241,523,494,06-06-15,Jaggaiahpeta,Penuganchiprolu,Sanagapadu
242,523,365,19-06-15,Mylavaram,Mylavaram,pullur
243,523,312,14-07-15,Nandigama,Nandigama,Peddavaram
244,524,134,01-07-15,Jaggaiahpeta,Vatsavai,Dabbagupalli
245,526,10,25-06-15,Nandigama,Kanchikacherla,Gottimukkala
246,527,360,28-05-15,Mylavaram,Mylavaram,k.r.gudem
247,528,215,07-06-15,Nandigama,Kanchikacherla,Pendyala
248,530,48,13-06-15,Tiruvuru,Gampalagudem,KONIJARAL
249,533,443,27-06-15,Tiruvuru,Gampalagudem,RAJAVARAM
250,541,424,21-07-15,NA,NA,NA
251,542,443,05-06-15,Tiruvuru,Gampalagudem,AMMIREDDYGUDEM
252,543,384,01-06-15,Tiruvuru,A.Konduru,Koduru
253,543,41,01-07-15,Nandigama,Veerullapadu,Jujjuru
254,544,139,30-06-15,Jaggaiahpeta,Vatsavai,Polampalli
255,546,301,08-07-15,Nandigama,Chanderlapadu,Konayapalem
256,547,464,26-06-15,Tiruvuru,Gampalagudem,LINGALA
257,549,264,02-06-15,Mylavaram,Reddygudem,Moddulaparva
258,549,245,15-06-15,Jaggaiahpeta,Jaggaiahpeta,Anumanchipalli
259,553,25,02-06-15,Tiruvuru,Gampalagudem,SATYALAPADU
260,553,242,04-06-15,Jaggaiahpeta,Jaggaiahpeta,Gandrai
261,553,124,11-07-15,Jaggaiahpeta,Vatsavai,Vatsavai
262,554,286,11-06-15,Mylavaram,Reddygudem,Reddygudem
263,562,134,23-05-15,Jaggaiahpeta,Vatsavai,Gangavelli
264,563,364,26-06-15,Mylavaram,Mylavaram,pullur
265,565,5,16-06-15,Nandigama,Chanderlapadu,Chinthalapadu
266,566,408,27-06-15,Tiruvuru,A.Konduru,Madhavaram
267,567,12,27-05-15,Tiruvuru,Vissannapeta,Kondaparava
268,567,477,12-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
269,569,270,17-06-15,Mylavaram,Reddygudem,Reddygudem
270,569,358,15-06-15,Tiruvuru,Tiruvuru,Vavilala
271,570,350,25-05-15,NA,NA,NA
272,570,253,07-06-15,Jaggaiahpeta,Jaggaiahpeta,D P Tanda
273,570,351,17-06-15,Mylavaram,Mylavaram,Velvadam
274,571,91,29-05-15,Mylavaram,Ibrahimpatnam,Kethanakonda
275,572,386,08-06-15,Tiruvuru,A.Konduru,Polishettipadu
276,572,7,04-07-15,Tiruvuru,Vissannapeta,Vissannapeta
277,573,355,24-06-15,Mylavaram,Mylavaram,pullur
278,575,299,16-06-15,Jaggaiahpeta,Nadigama,Jonnalagadda
279,575,125,13-07-15,Jaggaiahpeta,Vatsavai,Makkapeta
280,578,421,12-06-15,NA,NA,NA
281,580,130,17-06-15,Jaggaiahpeta,Vatsavai,Kanneveedu
282,581,490,12-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
283,583,494,26-05-15,Jaggaiahpeta,Penuganchiprolu,Totacharla
284,583,268,07-06-15,Mylavaram,Reddygudem,Annerao peta
285,583,306,12-06-15,Jaggaiahpeta,Nadigama,Jonnalagadda
286,585,129,20-06-15,Jaggaiahpeta,Vatsavai,Chityala
287,587,242,20-06-15,Jaggaiahpeta,Jaggaiahpeta,Gandrai
288,590,290,04-06-15,Mylavaram,Reddygudem,K-Naguluru
289,590,82,07-06-15,Mylavaram,Ibrahimpatnam,Kethanakonda
290,590,368,14-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
291,592,467,31-05-15,Tiruvuru,Gampalagudem,KANUMURU
292,593,84,17-06-15,Mylavaram,Ibrahimpatnam,Kachavaram
293,594,188,06-06-15,Mylavaram,G. Konduru,Kuntamukkala
294,595,278,12-06-15,Mylavaram,Reddygudem,Reddygudem
295,596,100,28-05-15,Mylavaram,Vijayawada (R),Rayanipadu
296,596,274,01-06-15,Mylavaram,Mylavaram,Morsumalli
297,597,360,20-07-15,NA,NA,NA
298,599,221,18-06-15,Nandigama,Chanderlapadu,Chinthalapadu
299,600,500,29-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
300,601,218,02-06-15,Nandigama,Kanchikacherla,Bathinapadu
301,601,410,24-06-15,Tiruvuru,A.Konduru,Madhavaram
302,603,329,13-06-15,Tiruvuru,Tiruvuru,Kakarla
303,603,119,25-07-15,NA,NA,NA
304,607,262,08-06-15,Mylavaram,Reddygudem,kudapa
305,611,121,05-06-15,Jaggaiahpeta,Vatsavai,Kakaravai
306,611,492,27-06-15,Jaggaiahpeta,Penuganchiprolu,Nawabpeta
307,617,168,04-06-15,Nandigama,Chanderlapadu,Kasarabada
308,617,215,12-06-15,Nandigama,Kanchikacherla,Pendyala
309,617,352,04-07-15,Mylavaram,Mylavaram,mylavaram
310,619,111,17-06-15,Jaggaiahpeta,Vatsavai,Machinenipalem
311,620,376,18-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
312,621,186,23-05-15,Mylavaram,G. Konduru,Kandulapadu
313,622,285,27-05-15,Mylavaram,Reddygudem,Rudra varam
314,622,167,06-06-15,Jaggaiahpeta,Jaggaiahpeta,Mutyala
315,625,262,02-06-15,Mylavaram,Reddygudem,K-Naguluru
316,630,288,24-06-15,Mylavaram,Reddygudem,Reddygudem
317,630,71,13-06-15,Mylavaram,Ibrahimpatnam,GunTupalli
318,632,178,29-05-15,Mylavaram,G. Konduru,Sunnampadu
319,632,115,30-06-15,Jaggaiahpeta,Vatsavai,Lingala
320,635,50,01-06-15,Nandigama,Veerullapadu,Narasimharao Palem
321,636,279,05-06-15,Mylavaram,Reddygudem,Muchanapalli
322,636,484,21-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
323,636,355,25-06-15,Mylavaram,Mylavaram,pullur
324,637,113,05-06-15,Jaggaiahpeta,Vatsavai,Kakaravai
325,642,133,16-06-15,Jaggaiahpeta,Vatsavai,Kanneveedu
326,650,11,05-06-15,Tiruvuru,Vissannapeta,Kalagara
327,651,278,15-06-15,Mylavaram,Reddygudem,Reddygudem
328,651,318,28-06-15,Nandigama,Nandigama,Thakkellapadu
329,652,394,25-06-15,Tiruvuru,A.Konduru,Ramachandrapuram
330,654,127,26-05-15,Jaggaiahpeta,Vatsavai,Dechupalem
331,656,15,25-05-15,NA,NA,NA
332,656,85,04-06-15,Mylavaram,Ibrahimpatnam,Chilukuru
333,657,323,07-06-15,Tiruvuru,Tiruvuru,Vavilala
334,658,210,23-06-15,Nandigama,Kanchikacherla,Gottimukkala
335,659,485,21-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
336,664,443,04-06-15,Tiruvuru,Gampalagudem,AMMIREDDYGUDEM
337,664,293,12-07-15,Jaggaiahpeta,Nadigama,Maagallu
338,665,407,22-06-15,Tiruvuru,A.Konduru,Ramachandrapuram
339,666,96,29-05-15,Mylavaram,Vijayawada (R),paidurpadu
340,666,498,31-05-15,Jaggaiahpeta,Penuganchiprolu,Kollikulla
341,670,292,19-06-15,Jaggaiahpeta,Nadigama,Rudravaram
342,672,226,31-05-15,Nandigama,Kanchikacherla,Bathinapadu
343,672,471,04-07-15,Jaggaiahpeta,Penuganchiprolu,Konakanchi
344,673,131,24-05-15,Jaggaiahpeta,Vatsavai,Talluru
345,676,68,11-07-15,Nandigama,Kanchikacherla,Paritala
346,677,147,05-06-15,Jaggaiahpeta,Jaggaiahpeta,Anumanchipalli
347,677,260,15-06-15,Jaggaiahpeta,Jaggaiahpeta,Gandrai
348,680,370,15-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
349,682,25,24-05-15,Tiruvuru,Gampalagudem,CHINTALANARVA
350,682,266,17-06-15,Mylavaram,Reddygudem,Reddygudem
351,682,445,19-06-15,Tiruvuru,Gampalagudem,TUNIKIPADU
352,682,456,25-06-15,Tiruvuru,Gampalagudem,DUNDIRLAPADU
353,683,236,06-07-15,Nandigama,Chanderlapadu,Muppalla
354,687,386,03-06-15,Tiruvuru,A.Konduru,Polishettipadu
355,687,183,16-06-15,Mylavaram,G. Konduru,Koduru
356,688,220,01-07-15,Nandigama,Kanchikacherla,Gottimukkala
357,697,334,29-05-15,Tiruvuru,Tiruvuru,Munukulla
358,697,433,12-06-15,NA,NA,NA
359,701,463,29-05-15,Tiruvuru,Gampalagudem,ANUMULLANKA
360,706,192,08-07-15,Mylavaram,G. Konduru,Velagaleru
361,707,387,10-06-15,Tiruvuru,A.Konduru,Koduru
362,709,465,16-06-15,Tiruvuru,Gampalagudem,TUNIKIPADU
363,710,104,15-06-15,Mylavaram,Vijayawada (R),Kottur tadepalli
364,713,123,26-06-15,Nandigama,Veerullapadu,Konathalapalli
365,714,365,24-05-15,Mylavaram,Mylavaram,Pondugala
366,714,111,10-07-15,Jaggaiahpeta,Vatsavai,Makkapeta
367,716,218,13-06-15,Nandigama,Kanchikacherla,Gandepalli
368,717,450,12-06-15,Tiruvuru,Gampalagudem,KONIJARAL
369,718,290,10-07-15,NA,NA,NA
370,719,161,17-06-15,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
371,720,210,01-07-15,Nandigama,Kanchikacherla,Gottimukkala
372,721,368,24-06-15,Mylavaram,Mylavaram,pullur
373,726,283,08-07-15,NA,NA,NA
374,727,294,19-06-15,Jaggaiahpeta,Nadigama,Rudravaram
375,728,368,02-07-15,Mylavaram,Mylavaram,mylavaram
376,731,261,01-06-15,Mylavaram,Reddygudem,Kunaparajparva
377,736,50,26-05-15,Nandigama,Veerullapadu,Bodawada
378,740,67,03-06-15,Mylavaram,Ibrahimpatnam,Mulapadu
379,741,63,28-05-15,Mylavaram,Ibrahimpatnam,Elaprolu
380,742,169,26-06-15,Nandigama,Veerullapadu,Konathalapalli
381,742,472,05-07-15,Jaggaiahpeta,Penuganchiprolu,Konakanchi
382,743,284,24-05-15,Mylavaram,Reddygudem,Rudra varam
383,743,159,30-05-15,Nandigama,Veerullapadu,Chennarao Palem
384,745,492,10-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
385,745,167,02-07-15,Tiruvuru,Vissannapeta,Vissannapeta
386,745,192,15-06-15,Mylavaram,G. Konduru,Koduru
387,748,229,01-07-15,Nandigama,Chanderlapadu,Veladi Kothapalem
388,749,173,04-07-15,NA,NA,NA
389,752,113,30-05-15,Jaggaiahpeta,Vatsavai,Kakaravai
390,752,402,27-06-15,Tiruvuru,A.Konduru,Ramachandrapuram
391,753,173,16-06-15,Mylavaram,G. Konduru,Kavuluru
392,757,404,24-06-15,Tiruvuru,A.Konduru,Cheemalapadu
393,758,254,06-07-15,Nandigama,Chanderlapadu,Muppalla
394,761,142,21-06-15,Tiruvuru,A.Konduru,Khampampadu
395,762,298,07-06-15,Nandigama,Nandigama,Aithavaram
396,764,329,26-05-15,Tiruvuru,Tiruvuru,Laxmipuram
397,764,314,17-06-15,Nandigama,Nandigama,Pallagiri
398,766,351,15-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
399,766,178,24-07-15,NA,NA,NA
400,767,25,10-06-15,Tiruvuru,Gampalagudem,GADEVARIGUDEM
401,768,167,15-06-15,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
402,772,275,30-05-15,Mylavaram,Mylavaram,Morsumalli
403,772,443,01-07-15,Tiruvuru,Gampalagudem,PENUGOLANU
404,773,21,04-06-15,Nandigama,Veerullapadu,Narasimharao Palem
405,774,365,08-06-15,Mylavaram,Mylavaram,Morsumalli
